Textbox151,Textbox8,InventLocationId1,InventLocationName,Textbox153,Textbox45,Textbox46,Textbox47,Textbox63,Textbox48,Textbox90,Textbox104,Textbox131,CustAccount,CustName,LogisticsAddressStreet,LogisticsAddressZipCodeId,LogisticsAddressCity,LogisticsAddressCountryRegionId,SalesId,CustomerRef,CarrierName,Textbox41,Textbox70,Textbox42,Textbox43,Textbox64,Textbox118,Textbox44,Textbox123,Textbox92,Textbox128,Textbox114,Textbox133,SalesOriginId,ItemId,ItemName1,DlvDate1,SalesQty,RemainSalesPhysical,InventQtyPicked,InventQtyPickRemain,toProcessQty,InventQtyOnHand,PickingListId,ToProcess
Warehouse,Description,AU01,Nice Australia Home Automation,Customer account,Name,Street ,Postcode,City,Country/Region,Sales order,Customer's reference,Carrier name,AU1094,Juralco Aluminium Building Products Ltd,48 Bruce McLaren Road,612,Henderson,NZL,SO042931,269365,Sea Freight,Sales origin,Item number,Item name,Delivery date,Ordered ,To be delivered,Picked,Remainder to be picked,To be processed,Available physical,Picking list,ATP,OR,P18,Trasm. Era P 18,2024-04-01,10,10,0,10,10,0,83082_099,Yes
Warehouse,Description,AU01,Nice Australia Home Automation,Customer account,Name,Street ,Postcode,City,Country/Region,Sales order,Customer's reference,Carrier name,AU1094,Juralco Aluminium Building Products Ltd,48 Bruce McLaren Road,612,Henderson,NZL,SO043131,269466,DHL,Sales origin,Item number,Item name,Delivery date,Ordered ,To be delivered,Picked,Remainder to be picked,To be processed,Available physical,Picking list,ATP,OR,ERL10000000,Era L 100Nm 12rpm 230/50 2.5m Pack1,2024-04-01,5,2,0,2,2,0,83084_099,Yes
Warehouse,Description,AU01,Nice Australia Home Automation,Customer account,Name,Street ,Postcode,City,Country/Region,Sales order,Customer's reference,Carrier name,AU1098,Access Control Equipment,65 Woodview Avenue,2250,LISAROW,AUS,SO044071,Ordered through Tech Support - PJ,Carrier,Sales origin,Item number,Item name,Delivery date,Ordered ,To be delivered,Picked,Remainder to be picked,To be processed,Available physical,Picking list,ATP,OR,PRHK04,HYKE Satellite Spare Parts Group,2024-03-28,1,1,0,1,0,0,83390_099,No
Warehouse,Description,AU01,Nice Australia Home Automation,Customer account,Name,Street ,Postcode,City,Country/Region,Sales order,Customer's reference,Carrier name,AU1098,Access Control Equipment,65 Woodview Avenue,2250,LISAROW,AUS,SO044216,,Carrier,Sales origin,Item number,Item name,Delivery date,Ordered ,To be delivered,Picked,Remainder to be picked,To be processed,Available physical,Picking list,ATP,OR,PRMB05,Group of female screw for moby,2024-04-19,2,2,0,2,0,0,83700_099,No
Warehouse,Description,AU01,Nice Australia Home Automation,Customer account,Name,Street ,Postcode,City,Country/Region,Sales order,Customer's reference,Carrier name,AU1115,Magnetic Autocontrol P/L,38 Metrolink CCt,3061,Campbellfield,AUS,SO043907,8619,Carrier,Sales origin,Item number,Item name,Delivery date,Ordered ,To be delivered,Picked,Remainder to be picked,To be processed,Available physical,Picking list,ATP,OR,ME3000R01,M-Fab 230V motor for swing gates,2024-04-12,2,2,0,2,0,0,83133_099,No
Warehouse,Description,AU01,Nice Australia Home Automation,Customer account,Name,Street ,Postcode,City,Country/Region,Sales order,Customer's reference,Carrier name,AU1115,Magnetic Autocontrol P/L,38 Metrolink CCt,3061,Campbellfield,AUS,SO043907,8619,Carrier,Sales origin,Item number,Item name,Delivery date,Ordered ,To be delivered,Picked,Remainder to be picked,To be processed,Available physical,Picking list,ATP,OR,MC800,Control unit for 2 motors 120V / 230V BusT4 / BlueBus,2024-04-12,1,1,0,1,1,1,83134_099,Yes
Warehouse,Description,AU01,Nice Australia Home Automation,Customer account,Name,Street ,Postcode,City,Country/Region,Sales order,Customer's reference,Carrier name,AU1118,Mark Kendall Electrical,SHOP 2 / 1 SOUTH BAY DRIVE,4227,VARSITY LAKES,AUS,SO043289,,Carrier,Sales origin,Item number,Item name,Delivery date,Ordered ,To be delivered,Picked,Remainder to be picked,To be processed,Available physical,Picking list,ATP,OR,PROVIEW,Multifunction interface,2024-04-01,1,1,0,1,0,0,83086_099,No
Warehouse,Description,AU01,Nice Australia Home Automation,Customer account,Name,Street ,Postcode,City,Country/Region,Sales order,Customer's reference,Carrier name,AU1142,Rollashield,23 Fitzpatrick Street,2212,Revesby,AUS,SO043826,Tyler,Carrier,Sales origin,Item number,Item name,Delivery date,Ordered ,To be delivered,Picked,Remainder to be picked,To be processed,Available physical,Picking list,ATP,OR,3.01206E+11,Exterior bidirectional interface for tubular motor,2024-04-01,10,10,0,10,0,0,83123_099,No
Warehouse,Description,AU01,Nice Australia Home Automation,Customer account,Name,Street ,Postcode,City,Country/Region,Sales order,Customer's reference,Carrier name,AU1195,Smart Shutters & Smart Shop Delivery,29-31 Eileen Road,3169,CLAYTON SOUTH,AUS,SO043964,,Carrier,Sales origin,Item number,Item name,Delivery date,Ordered ,To be delivered,Picked,Remainder to be picked,To be processed,Available physical,Picking list,ATP,OR,ERL10000000,Era L 100Nm 12rpm 230/50 2.5m Pack1,2024-03-27,2,2,0,2,2,0,83369_099,Yes
Warehouse,Description,AU01,Nice Australia Home Automation,Customer account,Name,Street ,Postcode,City,Country/Region,Sales order,Customer's reference,Carrier name,AU1195,Smart Shutters & Smart Shop Delivery,29-31 Eileen Road,3169,CLAYTON SOUTH,AUS,SO043964,,Carrier,Sales origin,Item number,Item name,Delivery date,Ordered ,To be delivered,Picked,Remainder to be picked,To be processed,Available physical,Picking list,ATP,OR,526.10003,Support Era L aluminium with 4 M6 hole /4 seats hexagon,2024-03-27,7,3,0,3,3,17,83370_099,Yes
Warehouse,Description,AU01,Nice Australia Home Automation,Customer account,Name,Street ,Postcode,City,Country/Region,Sales order,Customer's reference,Carrier name,AU1259,Tonson Aus (SAMT) Pty Ltd,19/5 Lyn pde,2170,Prestons,AUS,SO044121,31798,Carrier,Sales origin,Item number,Item name,Delivery date,Ordered ,To be delivered,Picked,Remainder to be picked,To be processed,Available physical,Picking list,ATP,OR,3.01703E+11,"Fibaro Smoke Sensor 2 FGSD-002 ZW5 921,4 MHz",2024-05-01,16,16,0,16,0,0,,No
Warehouse,Description,AU01,Nice Australia Home Automation,Customer account,Name,Street ,Postcode,City,Country/Region,Sales order,Customer's reference,Carrier name,AU1349,JOHN TO COLLECT,,,,AUS,SO044063,JOHN PHONE CALL,Customer,Sales origin,Item number,Item name,Delivery date,Ordered ,To be delivered,Picked,Remainder to be picked,To be processed,Available physical,Picking list,ATP,OR,SPPOA3R10,Spare Control Board for Hopp HO7124,2024-03-27,2,2,0,2,0,0,83372_099,No
Warehouse,Description,AU01,Nice Australia Home Automation,Customer account,Name,Street ,Postcode,City,Country/Region,Sales order,Customer's reference,Carrier name,AU1400,Leda Security Products Derrimut,67 Calarco Drive,3030,DERRIMUT,AUS,SO044007,49788,Carrier,Sales origin,Item number,Item name,Delivery date,Ordered ,To be delivered,Picked,Remainder to be picked,To be processed,Available physical,Picking list,ATP,OR,ME3024HS,High speed Underground operator for Swing Gates,2024-04-01,1,1,0,1,0,0,83256_099,No
Warehouse,Description,AU01,Nice Australia Home Automation,Customer account,Name,Street ,Postcode,City,Country/Region,Sales order,Customer's reference,Carrier name,AU1400,Leda Security Products Derrimut,67 Calarco Drive,3030,DERRIMUT,AUS,SO044007,49788,Carrier,Sales origin,Item number,Item name,Delivery date,Ordered ,To be delivered,Picked,Remainder to be picked,To be processed,Available physical,Picking list,ATP,OR,MEA2,Key unlock system for meco,2024-04-01,1,1,0,1,1,6,83257_099,Yes
Warehouse,Description,AU01,Nice Australia Home Automation,Customer account,Name,Street ,Postcode,City,Country/Region,Sales order,Customer's reference,Carrier name,AU1400,Leda Security Products Derrimut,67 Calarco Drive,3030,DERRIMUT,AUS,SO044007,49788,Carrier,Sales origin,Item number,Item name,Delivery date,Ordered ,To be delivered,Picked,Remainder to be picked,To be processed,Available physical,Picking list,ATP,OR,PRME04R01,Spare Parts Fixing Group Metro R01,2024-04-01,1,1,0,1,0,0,83258_099,No
